,N-Number,Registered
154905,N309US,1990-03-14
154932,N463WN,2004-06-04
154941,N464WN,2004-06-08
155001,N467WN,2004-06-14
155115,N18556,2002-05-24
155131,N472WN,2004-07-14
155210,N473WN,2004-07-19
155218,N754UW,2000-10-16
155227,N474WN,2004-07-23
155244,N812AW,2000-03-20
155257,N506AS,2008-06-05
155448,N318US,1991-07-29
155589,N319NB,2000-11-06
155591,N114UW,2000-02-16
155595,N505JB,2000-04-03
155704,N301NB,2000-01-19
155993,N13995,2000-08-13
156325,N523AS,2009-02-27
156357,N941DL,1989-06-28
156487,N592JB,2004-10-13
156749,N203JB,2006-03-17
156766,N413AS,2013-03-24
156777,N409AS,2013-02-04
156831,N7730A,2012-06-04
156963,N27015,2000-04-07
157014,N480UA,2002-01-14
157029,N15985,2000-04-14
157304,N57868,2002-08-08
157473,N834UA,2001-03-01
157486,N821AW,2001-02-12
157487,N823AW,2001-05-11
157488,N827AW,2001-08-02
157564,N903DA,1995-02-12
157590,N636VA,2008-04-17
157611,N22909,2001-06-30
157711,N937DN,2012-10-05
157850,N941DN,2013-03-03
157933,N509AY,2009-02-18
158044,N415WN,2001-10-19
158328,N945DN,2013-04-14
158329,N946DN,2013-05-31
158462,N7739A,2012-10-09
158551,N934AT,2000-05-01
158611,N542UW,2009-12-16
158648,N589JB,2004-07-07
158690,N315NB,2000-07-05
158823,N76516,2009-01-06
158840,N14902,2001-09-21
158894,N39418,2008-03-23
158961,N14250,1999-12-12
159217,N958DN,2012-02-04
159434,N506JB,2000-07-05
159569,N24202,2000-06-10
159666,N561JB,2003-03-04
159711,N566JB,2003-08-07
159910,N651JB,2007-01-11
159948,N949AT,2000-01-24
160067,N766SW,2000-05-02
160120,N361SW,1992-06-18
160189,N787SA,2000-11-09
160288,N996AT,2002-07-05
160369,N533US,1988-09-30
160467,N933AT,2000-06-02
160536,N316NB,2000-07-05
160678,N201AA,1959-04-17
160740,N214WN,2005-06-06
160830,N392DA,2000-05-28
160837,N990DL,1991-11-14
160877,N341NB,2002-06-26
161054,N527VA,2012-05-21
161296,N179JB,2005-10-01
161349,N331NW,1992-06-22
161350,N596UA,1998-03-17
161423,N27205,2000-07-22
161424,N660AW,2000-07-05
161432,N248WN,2006-07-25
161768,N675UA,2000-07-28
161771,N769SW,2000-06-22
161827,N11165,2004-06-26
161843,N624VA,2006-05-31
162052,N773SA,2000-07-05
162134,N523VA,2007-07-10
162191,N462UA,2000-09-22
162271,N348NB,2002-10-08
162423,N11206,2000-07-25
162534,N478WN,2004-08-14
162676,N13988,2000-05-27
162850,N11184,2005-05-27
163158,N14998,2000-08-30
163169,N833UA,2001-02-12
163298,N464UA,2000-09-22
163341,N75861,2001-08-07
163512,N78509,2008-02-21
163563,N489UA,2002-04-11
163850,N458UA,2000-03-10
163876,N329NB,2001-08-02
164086,N246LV,2006-06-30
164092,N508JB,2007-05-09
164217,N960AT,2001-03-30
164308,N76265,2001-08-27
164319,N77295,2005-08-30
164340,N751UW,2000-09-28
164348,N220WN,2005-07-29
164437,N222WN,2005-08-26
164591,N7713A,2005-06-15
164606,N471UA,2001-05-11
164691,N629VA,2008-01-23
164742,N623VA,2009-02-06
164750,N191UW,2001-04-06
164778,N406UA,1994-04-08
164827,N974AT,2002-02-22
164907,N975AT,2002-03-20
165048,N122US,2000-10-16
165130,N892AT,2004-08-02
165154,N925AT,2000-11-07
165319,N997AT,2002-11-07
165401,N744EV,2004-07-23
165550,N37253,2000-09-16
165551,N6711M,2000-09-27
165616,N848UA,2002-03-15
165803,N583AA,1991-09-07
166038,N13979,1999-11-21
166056,N979EV,2003-01-14
166160,N37255,2000-10-21
166186,N953AT,2000-09-11
166231,N648JB,2006-12-08
166276,N745SW,1999-03-30
166353,N487WN,2004-10-05
166659,N907WN,2008-01-31
166662,N13994,2000-07-21
166715,N525VA,2007-12-04
166794,N318NB,2000-10-16
166815,N908WN,2008-02-06
166824,N517JB,2000-12-06
166909,N909WN,2008-02-18
166914,N910WN,2010-05-07
167029,N975DL,1991-03-12
167076,N12563,2002-06-29
167285,N764US,2000-12-06
167317,N758US,2000-11-06
167325,N488UA,2002-03-26
167342,N915WN,2008-03-13
167383,N972DL,1991-02-19
167513,N918WN,2008-04-08
167668,N920WN,2008-04-30
167706,N921WN,2008-05-02
167779,N476WN,2004-08-05
167795,N717SA,1998-07-23
167985,N925WN,2008-06-30
168007,N293WN,2007-09-18
168012,N13914,2001-05-11
168013,N295WN,2007-10-27
168015,N900WN,2007-12-09
168075,N905WN,2008-01-19
168090,N294WN,2007-09-25
168094,N297WN,2007-10-26
168151,N11548,2002-02-22
168174,N33266,2001-08-27
168178,N562WN,2000-12-12
