,icon,precipIntensity,temperature,windSpeed,visibility,nyc_time,year,month,day,hour
147,partly-cloudy,0.0,-7.794444444444445,2.01,9.997,07/01/2015 03:00,2015,1,7,3
148,partly-cloudy,0.0,-7.794444444444445,3.36,9.997,07/01/2015 04:00,2015,1,7,4
149,cloudy,0.0,-7.194444444444445,6.93,9.997,07/01/2015 05:00,2015,1,7,5
150,partly-cloudy,0.0,-7.794444444444445,1.64,9.997,07/01/2015 06:00,2015,1,7,6
151,partly-cloudy,0.0,-7.194444444444445,9.18,9.997,07/01/2015 07:00,2015,1,7,7
152,partly-cloudy,0.0,-6.683333333333334,5.9,9.997,07/01/2015 08:00,2015,1,7,8
153,partly-cloudy,0.0,-6.111111111111111,7.24,9.997,07/01/2015 09:00,2015,1,7,9
154,partly-cloudy,0.0,-5.583333333333333,16.1,9.997,07/01/2015 10:00,2015,1,7,10
155,partly-cloudy,0.0,-4.411111111111111,8.98,9.997,07/01/2015 11:00,2015,1,7,11
156,partly-cloudy,0.0,-4.98888888888889,8.32,9.997,07/01/2015 12:00,2015,1,7,12
157,cloudy,0.0,-4.411111111111111,8.48,9.997,07/01/2015 13:00,2015,1,7,13
158,partly-cloudy,0.0,-4.411111111111111,6.98,9.249,07/01/2015 14:00,2015,1,7,14
159,partly-cloudy,0.0,-7.000000000000001,7.3,9.997,07/01/2015 15:00,2015,1,7,15
160,partly-cloudy,0.0,-6.683333333333334,7.48,9.997,07/01/2015 16:00,2015,1,7,16
161,partly-cloudy,0.0,-7.794444444444445,8.33,9.997,07/01/2015 17:00,2015,1,7,17
162,partly-cloudy,0.0,-8.899999999999999,13.88,9.997,07/01/2015 18:00,2015,1,7,18
163,clear,0.0,-10.0,8.9,9.997,07/01/2015 19:00,2015,1,7,19
164,clear,0.0,-11.677777777777777,8.92,9.997,07/01/2015 20:00,2015,1,7,20
165,clear,0.0,-12.177777777777779,8.12,9.997,07/01/2015 21:00,2015,1,7,21
166,clear,0.0,-12.777777777777779,7.76,9.997,07/01/2015 22:00,2015,1,7,22
167,clear,0.0,-13.294444444444444,14.99,9.997,07/01/2015 23:00,2015,1,7,23
168,clear,0.0,-13.294444444444444,6.95,9.997,08/01/2015 00:00,2015,1,8,0
169,clear,0.0,-13.916666666666666,12.76,9.997,08/01/2015 01:00,2015,1,8,1
170,clear,0.0,-13.916666666666666,13.88,9.997,08/01/2015 02:00,2015,1,8,2
171,clear,0.0,-13.916666666666666,12.76,9.997,08/01/2015 03:00,2015,1,8,3
172,clear,0.0,-14.394444444444446,5.12,9.997,08/01/2015 04:00,2015,1,8,4
173,clear,0.0,-13.916666666666666,9.18,9.997,08/01/2015 05:00,2015,1,8,5
174,clear,0.0,-13.916666666666666,8.05,9.997,08/01/2015 06:00,2015,1,8,6
175,clear,0.0,-13.916666666666666,3.85,9.997,08/01/2015 07:00,2015,1,8,7
176,clear,0.0,-13.294444444444444,8.05,9.997,08/01/2015 08:00,2015,1,8,8
177,clear,0.0,-11.677777777777777,5.25,9.997,08/01/2015 09:00,2015,1,8,9
178,clear,0.0,-10.0,5.91,9.997,08/01/2015 10:00,2015,1,8,10
179,clear,0.0,-8.899999999999999,5.13,9.997,08/01/2015 11:00,2015,1,8,11
180,clear,0.0,-7.794444444444445,5.5,9.997,08/01/2015 12:00,2015,1,8,12
181,clear,0.0,-7.194444444444445,5.63,9.997,08/01/2015 13:00,2015,1,8,13
182,clear,0.0,-6.683333333333334,5.03,9.997,08/01/2015 14:00,2015,1,8,14
183,partly-cloudy,0.0,-6.683333333333334,4.8,9.997,08/01/2015 15:00,2015,1,8,15
184,partly-cloudy,0.0,-7.194444444444445,4.59,9.997,08/01/2015 16:00,2015,1,8,16
185,partly-cloudy,0.0,-7.794444444444445,4.75,9.997,08/01/2015 17:00,2015,1,8,17
186,partly-cloudy,0.0,-8.899999999999999,4.13,9.997,08/01/2015 18:00,2015,1,8,18
187,clear,0.0,-9.405555555555557,4.5,9.997,08/01/2015 19:00,2015,1,8,19
188,partly-cloudy,0.0,-9.405555555555557,12.76,9.997,08/01/2015 20:00,2015,1,8,20
189,partly-cloudy,0.0,-9.405555555555557,10.29,9.997,08/01/2015 21:00,2015,1,8,21
190,partly-cloudy,0.0,-10.0,10.29,9.997,08/01/2015 22:00,2015,1,8,22
191,cloudy,0.0,-8.899999999999999,3.32,9.997,08/01/2015 23:00,2015,1,8,23
192,cloudy,0.0,-8.277777777777779,13.88,9.997,09/01/2015 00:00,2015,1,9,0
193,partly-cloudy,0.0,-7.794444444444445,6.93,9.997,09/01/2015 01:00,2015,1,9,1
194,cloudy,0.0,-7.194444444444445,8.05,9.997,09/01/2015 02:00,2015,1,9,2
195,cloudy,0.0,-6.683333333333334,3.39,9.997,09/01/2015 03:00,2015,1,9,3
196,cloudy,0.0,-6.111111111111111,10.29,9.997,09/01/2015 04:00,2015,1,9,4
197,cloudy,0.0,-4.98888888888889,3.44,9.997,09/01/2015 05:00,2015,1,9,5
